"identified_name","difference","accepted_name","identified_rank","accepted_rank","accepted_attr","phylum","class","order","family","genus","subgenus_name","subgenus_reso","primary_reso","species_reso","phylum_no","class_no","order_no","family_no","genus_no","subgenus_no","identified_no","accepted_no"
"cf. Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,"cf.",NA,33815,36651,36905,41189,41198,NA,41198,41198
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Leo cf. pardus","subjective synonym of, species not entered","Panthera","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56001,41066
"cf. Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,"cf.",NA,33815,36651,36905,41189,41198,NA,41198,41198
"Crocuta sp.",NA,"Crocuta","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Leo cf. gombaszoegensis","recombined as","Panthera gombaszoegensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56002,56002
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Leo cf. gombaszoegensis","recombined as","Panthera gombaszoegensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56002,56002
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Crocuta sp.",NA,"Crocuta","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Homotherium sp.",NA,"Homotherium","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Homotherium",NA,NA,NA,NA,33815,36651,36905,41045,41056,NA,41056,41056
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"cf. Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,"cf.",NA,33815,36651,36905,41189,41198,NA,41198,41198
"Homotherium sp.",NA,"Homotherium","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Homotherium",NA,NA,NA,NA,33815,36651,36905,41045,41056,NA,41056,41056
"Leo cf. gombaszoegensis","recombined as","Panthera gombaszoegensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56002,56002
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"cf. Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,"cf.",NA,33815,36651,36905,41189,41198,NA,41198,41198
"cf. Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,"cf.",NA,33815,36651,36905,41189,41198,NA,41198,41198
"Crocuta sp.",NA,"Crocuta","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Leo cf. gombaszoegensis","recombined as","Panthera gombaszoegensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56002,56002
"Mellivora capensis",NA,"Mellivora capensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora",NA,NA,NA,NA,33815,36651,36905,41086,41132,NA,232916,232915
"Cynictis penicillata",NA,"Cynictis penicillata","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Cynictis",NA,NA,NA,NA,33815,36651,36905,199984,41002,NA,232162,232161
"Crocuta sp.",NA,"Crocuta","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Homotherium sp.",NA,"Homotherium","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Homotherium",NA,NA,NA,NA,33815,36651,36905,41045,41056,NA,41056,41056
"Leo cf. pardus","subjective synonym of, species not entered","Panthera","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56001,41066
"Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,41198,41198
"Leo cf. gombaszoegensis","recombined as","Panthera gombaszoegensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56002,56002
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Homotherium sp.",NA,"Homotherium","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Homotherium",NA,NA,NA,NA,33815,36651,36905,41045,41056,NA,41056,41056
"Leo cf. pardus","subjective synonym of, species not entered","Panthera","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,56001,41066
"Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,41198,41198
"Felis sp.",NA,"Felis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Crocuta sp.",NA,"Crocuta","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Canis brevirostris","species not entered","Canis","species","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,41198,41198
"Africanictis meini",NA,"Africanictis meini","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Africanictis",NA,NA,NA,NA,33815,36651,36905,40997,97070,NA,335205,335205
"Diamantofelis ferox",NA,"Diamantofelis ferox","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Diamantofelis",NA,NA,NA,NA,33815,36651,36905,41045,335207,NA,335208,335208
"Amphicyon giganteus",NA,"Amphicyon giganteus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,272023,272023
"Mustelidae indet. 1 informal","species not entered","Mustelidae","species","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,"informal",33815,36651,36905,41086,NA,NA,41086,41086
"Mustelidae indet. 2 informal","species not entered","Mustelidae","species","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,"informal",33815,36651,36905,41086,NA,NA,41086,41086
"Diamantofelis minor",NA,"Diamantofelis minor","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Diamantofelis",NA,NA,NA,NA,33815,36651,36905,41045,335207,NA,335211,335211
"Ysengrinia n. sp. ginsburgi","recombined as","Namibiocyon ginsburgi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Namibiocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,471973,NA,101703,101703
"Panthera leo",NA,"Panthera leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,49734,46521
"Panthera pardus",NA,"Panthera pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,72185,104158
"Hyaena hyaena",NA,"Hyaena hyaena","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena",NA,NA,NA,NA,33815,36651,36905,41020,41024,NA,232134,104154
"Canis aureus",NA,"Canis aureus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,104156,104156
"Felis silvestris",NA,"Felis silvestris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,224042,224042
"Monachus albiventer","subjective synonym of","Monachus monachus","species","species",NA,"Chordata","Mammalia","Carnivora","Phocidae","Monachus",NA,NA,NA,NA,33815,36651,36905,41186,36926,NA,68693,104981
"Ursus arctos",NA,"Ursus arctos","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursus",NA,NA,NA,NA,33815,36651,36905,41301,41331,NA,52604,52604
"Vulpes vulpes",NA,"Vulpes vulpes","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",NA,NA,NA,NA,33815,36651,36905,41189,41248,NA,52691,44890
"Mellivora sp.",NA,"Mellivora","genus","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora",NA,NA,NA,NA,33815,36651,36905,41086,41132,NA,41132,41132
"Panthera pardus",NA,"Panthera pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,72185,104158
"Canis aureus",NA,"Canis aureus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,104156,104156
"Felis silvestris",NA,"Felis silvestris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,224042,224042
"Felis caligata","species not entered","Felis","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Monachus albiventer","subjective synonym of","Monachus monachus","species","species",NA,"Chordata","Mammalia","Carnivora","Phocidae","Monachus",NA,NA,NA,NA,33815,36651,36905,41186,36926,NA,68693,104981
"Canis anthus","subjective synonym of","Canis lupaster","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,233548,471380
"Vulpes vulpes",NA,"Vulpes vulpes","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",NA,NA,NA,NA,33815,36651,36905,41189,41248,NA,52691,44890
"Mellivora sp.",NA,"Mellivora","genus","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora",NA,NA,NA,NA,33815,36651,36905,41086,41132,NA,41132,41132
"Canis sp.",NA,"Canis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,41198,41198
"Crocuta crocuta",NA,"Crocuta crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,53881,232133
"Panthera pardus",NA,"Panthera pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,72185,104158
"Canis aureus",NA,"Canis aureus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,104156,104156
"Felis silvestris",NA,"Felis silvestris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,224042,224042
"Felis caligata","species not entered","Felis","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Monachus albiventer","subjective synonym of","Monachus monachus","species","species",NA,"Chordata","Mammalia","Carnivora","Phocidae","Monachus",NA,NA,NA,NA,33815,36651,36905,41186,36926,NA,68693,104981
"Canis anthus","subjective synonym of","Canis lupaster","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,233548,471380
"Felidae indet.",NA,"Felidae","family","family",NA,"Chordata","Mammalia","Carnivora","Felidae",NA,NA,NA,NA,NA,33815,36651,36905,41045,NA,NA,41045,41045
"Canis aureus",NA,"Canis aureus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,104156,104156
"Crocuta crocuta",NA,"Crocuta crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,53881,232133
"Hyaena hyaena",NA,"Hyaena hyaena","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena",NA,NA,NA,NA,33815,36651,36905,41020,41024,NA,232134,104154
"Crocuta crocuta",NA,"Crocuta crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,53881,232133
"Panthera pardus",NA,"Panthera pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,72185,104158
"Herpestes sanguineus",NA,"Herpestes sanguineus","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes",NA,NA,NA,NA,33815,36651,36905,199984,41005,NA,232253,232253
"Panthera leo",NA,"Panthera leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,49734,46521
"Hyaena hyaena",NA,"Hyaena hyaena","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena",NA,NA,NA,NA,33815,36651,36905,41020,41024,NA,232134,104154
"Felis libyca","obsolete variant of","Felis lybica","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,224043,224043
"Hyaena hyaena",NA,"Hyaena hyaena","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena",NA,NA,NA,NA,33815,36651,36905,41020,41024,NA,232134,104154
"Hyaena hyaena",NA,"Hyaena hyaena","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena",NA,NA,NA,NA,33815,36651,36905,41020,41024,NA,232134,104154
"Canis aureus",NA,"Canis aureus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,104156,104156
"Felis libyca","obsolete variant of","Felis lybica","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,224043,224043
"Mellivora capensis",NA,"Mellivora capensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora",NA,NA,NA,NA,33815,36651,36905,41086,41132,NA,232916,232915
"Felis libyca","obsolete variant of","Felis lybica","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,224043,224043
"Felidae indet.",NA,"Felidae","family","family",NA,"Chordata","Mammalia","Carnivora","Felidae",NA,NA,NA,NA,NA,33815,36651,36905,41045,NA,NA,41045,41045
"Canis sp.",NA,"Canis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,41198,41198
"Felidae indet.",NA,"Felidae","family","family",NA,"Chordata","Mammalia","Carnivora","Felidae",NA,NA,NA,NA,NA,33815,36651,36905,41045,NA,NA,41045,41045
"Canis sp.",NA,"Canis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,NA,33815,36651,36905,41189,41198,NA,41198,41198
"Otocyon sp.",NA,"Otocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Otocyon",NA,NA,NA,NA,33815,36651,36905,41189,41228,NA,41228,41228
"Hyaenidae indet.",NA,"Hyaenidae","family","family",NA,"Chordata","Mammalia","Carnivora","Hyaenidae",NA,NA,NA,NA,NA,33815,36651,36905,41020,NA,NA,41020,41020
"Panthera sp.",NA,"Panthera","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,41066,41066
"Proteles sp.",NA,"Proteles","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Proteles",NA,NA,NA,NA,33815,36651,36905,41020,103250,NA,103250,103250
"Mellivora sp.",NA,"Mellivora","genus","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mellivora",NA,NA,NA,NA,33815,36651,36905,41086,41132,NA,41132,41132
"Lycaon sp.",NA,"Lycaon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",NA,NA,NA,NA,33815,36651,36905,41189,41219,NA,41219,41219
"Vulpes sp.",NA,"Vulpes","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",NA,NA,NA,NA,33815,36651,36905,41189,41248,NA,41248,41248
"Felis caracal","recombined as","Caracal caracal","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Caracal",NA,NA,NA,NA,33815,36651,36905,41045,224077,NA,224076,224076
"Felis serval","recombined as","Caracal serval","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Caracal",NA,NA,NA,NA,33815,36651,36905,41045,224077,NA,224081,224081
"Felis caracal","recombined as","Caracal caracal","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Caracal",NA,NA,NA,NA,33815,36651,36905,41045,224077,NA,224076,224076
"Felis serval","recombined as","Caracal serval","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Caracal",NA,NA,NA,NA,33815,36651,36905,41045,224077,NA,224081,224081
"Canis mesomelas","recombined as","Lupulella mesomelas","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Lupulella",NA,NA,NA,NA,33815,36651,36905,41189,472885,NA,232943,232943
"Panthera leo",NA,"Panthera leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,49734,46521
"Parahyaena brunnea",NA,"Parahyaena brunnea","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Parahyaena",NA,NA,NA,NA,33815,36651,36905,41020,241934,NA,241935,232131
"Arctocephalus pusillus",NA,"Arctocephalus pusillus","species","species",NA,"Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus",NA,NA,NA,NA,33815,36651,36905,96678,36909,NA,71843,134392
"Herpestes pulverulentus","recombined as","Galerella pulverulenta","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Galerella",NA,NA,NA,NA,33815,36651,36905,199984,232110,NA,235503,235503
"Canis mesomelas","recombined as","Lupulella mesomelas","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Lupulella",NA,NA,NA,NA,33815,36651,36905,41189,472885,NA,232943,232943
"Felis pardus","recombined as","Panthera pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,104158,104158
"Panthera crassidens","species not entered","Panthera","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,41066,41066
"Viverridae indet.",NA,"Viverridae","family","family",NA,"Chordata","Mammalia","Carnivora","Viverridae",NA,NA,NA,NA,NA,33815,36651,36905,40997,NA,NA,40997,40997
"Mustelidae indet.",NA,"Mustelidae","family","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,NA,33815,36651,36905,41086,NA,NA,41086,41086
"Aonyx sp.","subjective synonym of","Lutra","genus","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra",NA,NA,NA,NA,33815,36651,36905,41086,41122,NA,41092,41122
"Viverridae indet.",NA,"Viverridae","family","family",NA,"Chordata","Mammalia","Carnivora","Viverridae",NA,NA,NA,NA,NA,33815,36651,36905,40997,NA,NA,40997,40997
"cf. Machairodus sp.",NA,"Machairodus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Machairodus",NA,NA,"cf.",NA,33815,36651,36905,41045,41059,NA,41059,41059
"cf. Machairodus sp.",NA,"Machairodus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Machairodus",NA,NA,"cf.",NA,33815,36651,36905,41045,41059,NA,41059,41059
